symbol,macro,industry,basic
PARSHVA,Services,Commercial Services & Supplies,Trading & Distributors
PARSHWANA,Realty,Realty,"Residential, Commercial Projects"
PARSVNATH,Realty,Realty,"Residential, Commercial Projects"
PARVATI,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
PASARI,Textiles,Textiles & Apparels,Other Textile Products
PASHUPATI,Textiles,Textiles & Apparels,Other Textile Products
PASUPTAC,Chemicals,Chemicals & Petrochemicals,Petrochemicals
PASUSPG,Textiles,Textiles & Apparels,Other Textile Products
PATANJALI,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
PATELCHEM,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
PATELENG,Construction,Construction,Civil Construction
PATELRMART,Consumer Services,Retailing,Diversified Retail
PATELSAI,Capital Goods,Industrial Manufacturing,Industrial Products
PATIDAR,Realty,Realty,"Residential, Commercial Projects"
PATINTLOG,Services,Transport Services,Logistics Solution Provider
PATRON,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
PATSPINLTD,Textiles,Textiles & Apparels,Other Textile Products
PAUSHAKLTD,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
PAVNAIND,Automobile and Auto Components,Auto Components,Auto Components & Equipments
PAYTM,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
PBAINFRA,Construction,Construction,Civil Construction
PBFL,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
PBGLOBAL,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
PBMPOLY,Textiles,Textiles & Apparels,Other Textile Products
PCBL,Chemicals,Chemicals & Petrochemicals,Carbon Black
PCCOSMA,Fast Moving Consumer Goods,Household Products,Household Products
